Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,38.89379883,Sub-Saharan Africa,Upper middle income
Botswana,BWA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,157.734742812171,Sub-Saharan Africa,Upper middle income
Brazil,BRA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,12.6353840484725,Latin America & Caribbean,Upper middle income
Brazil,BRA,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,21.6571343914938,Latin America & Caribbean,Upper middle income
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,58.3279517340924,Latin America & Caribbean,Upper middle income
Brazil,BRA,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,57.5621,Latin America & Caribbean,Upper middle income
Brazil,BRA,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,59.1559,Latin America & Caribbean,Upper middle income
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,127.83616904008,Latin America & Caribbean,Upper middle income
British Virgin Islands,VGB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,19.3054669835933,Latin America & Caribbean,High income
British Virgin Islands,VGB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,34.0715403791524,Latin America & Caribbean,High income
British Virgin Islands,VGB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,165.792219838831,Latin America & Caribbean,High income
Brunei Darussalam,BRN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,8.15348687389274,East Asia & Pacific,High income
Brunei Darussalam,BRN,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,18.0009094957036,East Asia & Pacific,High income
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,71.19999695,East Asia & Pacific,High income
Brunei Darussalam,BRN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,109.751499246824,East Asia & Pacific,High income
Bulgaria,BGR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,22.4944225140811,Europe & Central Asia,High income
Bulgaria,BGR,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,23.0564274525578,Europe & Central Asia,High income
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,56.6562516053086,Europe & Central Asia,High income
Bulgaria,BGR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,55.8825,Europe & Central Asia,High income
Bulgaria,BGR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,57.4503,Europe & Central Asia,High income
Bulgaria,BGR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,128.103256321093,Europe & Central Asia,High income
Burkina Faso,BFA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,0.049814972578599,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,0.39981388350848,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,6.545700073,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,76.9373292602998,Sub-Saharan Africa,Low income
Burundi,BDI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,0.0250824162395746,Sub-Saharan Africa,Low income
Burundi,BDI,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,0.197092938000902,Sub-Saharan Africa,Low income
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,2.0,Sub-Saharan Africa,Low income
Burundi,BDI,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,45.2379254099088,Sub-Saharan Africa,Low income
Cabo Verde,CPV,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,3.23344925974933,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,12.409200732249,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,42.6830141582781,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,41.3678,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,44.2465,Sub-Saharan Africa,Upper middle income
Cabo Verde,CPV,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,119.335511344785,Sub-Saharan Africa,Upper middle income
